 1. Williams County, North Dakota : 67.8%
2. Hays County, Texas : 46.5%
3. Wasatch County, Utah : 44.9%
4. Comal County, Texas : 43.9%
5. Kendall County, Texas : 42.1%
6. Sumter County, Florida : 41.7%
7. Dallas County, Iowa : 41.3%
8. Osceola County, Florida : 39.8%
9. Williamson County, Texas : 39.8%
10. St. Johns County, Florida : 39.3%
11. Forsyth County, Georgia : 39.2%
12. Fort Bend County, Texas : 38.8%
13. Lincoln County, South Dakota : 36.4%
14. Long County, Georgia : 36.4%
15. Walton County, Florida : 34.6%
16. Rockwall County, Texas : 33.9%
17. Denton County, Texas : 33.9%
18. Montgomery County, Texas : 33.3%
19. Brunswick County, North Carolina : 32.9%
20. Collin County, Texas : 32.4%
21. Loudoun County, Virginia : 32.4%
22. Kaufman County, Texas : 31.7%
23. Rockwall County, Texas : 31.6%
24. Horry County, South Carolina : 31.6%
25. Bryan County, Georgia : 31.2%
