 1. Austin-Round Rock-Georgetown, TX (29.8%)
2. Raleigh-Cary, NC (23%)
3. Orlando-Kissimmee-Sanford, FL (22.2%)
4. Charleston-North Charleston, SC (20.7%)
5. Houston-The Woodlands-Sugar Land, TX (19.4%)
6. North Port-Sarasota-Bradenton, FL (19.2%)
7. San Antonio-New Braunfels, TX (19.1%)
8. Dallas-Fort Worth-Arlington, TX (19%)
9. Phoenix-Mesa-Chandler, AZ (18%)
10. Charlotte-Concord-Gastonia, NC-SC (17.5%)
11. Nashville-Davidson--Murfreesboro--Franklin, TN (17.5%)
12. Denver-Aurora-Lakewood, CO (16.7%)
13. Las Vegas-Henderson-Paradise, NV (16.2%)
14. Jacksonville, FL (15.9%)
15. Seattle-Tacoma-Bellevue, WA (15.7%)
16. Tampa-St Petersburg-Clearwater, FL (14.8%)
17. Atlanta-Sandy Springs-Alpharetta, GA (13.9%)
18. Salt Lake City, UT (13.3%)
19. Oklahoma City, OK (12.4%)
20. McAllen-Edinburg-Mission, TX (12.1%)
